,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,000001,平安银行,深圳,金融,19910403
1,000002.SZ,000002,万科A,深圳,地产,19910129
2,000004.SZ,000004,国农科技,深圳,化学制药,19910114
3,000005.SZ,000005,世纪星源,深圳,环境保护,19901210
4,000006.SZ,000006,深振业A,深圳,地产,19920427
5,000007.SZ,000007,全新好,深圳,酒店餐饮,19920413
6,000008.SZ,000008,神州高铁,北京,运输设备,19920507
7,000009.SZ,000009,中国宝安,深圳,综合类,19910625
8,000010.SZ,000010,*ST美丽,深圳,地产,19951027
9,000011.SZ,000011,深物业A,深圳,地产,19920330
10,000012.SZ,000012,南玻A,深圳,玻璃,19920228
11,000014.SZ,000014,沙河股份,深圳,地产,19920602
12,000016.SZ,000016,深康佳A,深圳,元器件,19920327
13,000017.SZ,000017,深中华A,深圳,文教休闲,19920331
14,000018.SZ,000018,*ST神城,深圳,装修装饰,19920616
15,000019.SZ,000019,深粮控股,深圳,综合服务,19921012
16,000020.SZ,000020,深华发A,深圳,元器件,19920428
17,000021.SZ,000021,深科技,深圳,软件服务,19940202
18,000023.SZ,000023,深天地A,深圳,综合服务,19930429
19,000025.SZ,000025,特力A,深圳,汽车服务,19930621
20,000026.SZ,000026,飞亚达A,深圳,综合服务,19930603
21,000027.SZ,000027,深圳能源,深圳,火力发电,19930903
22,000028.SZ,000028,国药一致,深圳,医药商业,19930809
23,000029.SZ,000029,深深房A,深圳,地产,19930915
24,000030.SZ,000030,富奥股份,吉林,汽车服务,19930929
25,000031.SZ,000031,大悦城,深圳,地产,19931008
26,000032.SZ,000032,深桑达A,深圳,元器件,19931028
27,000034.SZ,000034,神州数码,深圳,综合类,19940509
28,000035.SZ,000035,中国天楹,江苏,环境保护,19940408
29,000036.SZ,000036,华联控股,深圳,地产,19940617
30,000037.SZ,000037,深南电A,深圳,火力发电,19940701
31,000038.SZ,000038,深大通,深圳,广告包装,19940808
32,000039.SZ,000039,中集集团,深圳,轻工机械,19940408
33,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
34,000042.SZ,000042,中洲控股,深圳,地产,19940921
35,000043.SZ,000043,中航善达,深圳,地产,19940928
36,000045.SZ,000045,深纺织A,深圳,农矿业,19940815
37,000046.SZ,000046,泛海控股,北京,地产,19940912
38,000048.SZ,000048,*ST康达,深圳,饲料,19941101
39,000049.SZ,000049,德赛电池,深圳,元器件,19950320
40,000050.SZ,000050,深天马A,深圳,元器件,19950315
41,000055.SZ,000055,方大集团,深圳,综合服务,19960415
42,000056.SZ,000056,皇庭国际,深圳,地产,19960708
43,000058.SZ,000058,深赛格,深圳,元器件,19961226
44,000059.SZ,000059,华锦股份,辽宁,农矿业,19970130
45,000060.SZ,000060,中金岭南,深圳,农矿业,19970123
46,000061.SZ,000061,农产品,深圳,农矿业,19970110
47,000062.SZ,000062,深圳华强,深圳,批发业,19970130
48,000063.SZ,000063,中兴通讯,深圳,软件服务,19971118
49,000065.SZ,000065,北方国际,北京,地产,19980605
50,000066.SZ,000066,中国长城,深圳,软件服务,19970626
51,000068.SZ,000068,华控赛格,深圳,元器件,19970611
52,000069.SZ,000069,华侨城A,深圳,旅游景点,19970910
53,000070.SZ,000070,特发信息,深圳,软件服务,20000511
54,000078.SZ,000078,海王生物,深圳,化学制药,19981218
55,000088.SZ,000088,盐田港,深圳,港口,19970728
56,000089.SZ,000089,深圳机场,深圳,机场,19980420
57,000090.SZ,000090,天健集团,深圳,地产,19990721
58,000096.SZ,000096,广聚能源,深圳,农矿业,20000724
59,000099.SZ,000099,中信海直,深圳,空运,20000731
60,000100.SZ,000100,TCL集团,广东,元器件,20040130
61,000150.SZ,000150,宜华健康,广东,化学制药,20000807
62,000151.SZ,000151,中成股份,北京,商贸代理,20000906
63,000153.SZ,000153,丰原药业,安徽,化学制药,20000920
64,000155.SZ,000155,川能动力,四川,农矿业,20000926
65,000156.SZ,000156,华数传媒,浙江,影视音像,20000906
66,000157.SZ,000157,中联重科,湖南,工程机械,20001012
67,000158.SZ,000158,常山北明,河北,软件服务,20000724
68,000159.SZ,000159,国际实业,新疆,农矿业,20000926
69,000166.SZ,000166,申万宏源,新疆,金融,20150126
70,000301.SZ,000301,东方盛虹,江苏,化学制药,20000529
71,000333.SZ,000333,美的集团,广东,元器件,20130918
72,000338.SZ,000338,潍柴动力,山东,汽车服务,20070430
73,000400.SZ,000400,许继电气,河南,元器件,19970418
74,000401.SZ,000401,冀东水泥,河北,水泥,19960614
75,000402.SZ,000402,金融街,北京,地产,19960626
76,000403.SZ,000403,振兴生化,山西,化学制药,19960628
77,000404.SZ,000404,长虹华意,江西,机械,19960619
78,000407.SZ,000407,胜利股份,山东,供气供热,19960703
79,000408.SZ,000408,藏格控股,青海,农矿业,19960628
80,000409.SZ,000409,*ST地矿,山东,综合类,19960627
81,000410.SZ,000410,沈阳机床,辽宁,机械,19960718
82,000411.SZ,000411,英特集团,浙江,医药商业,19960716
83,000413.SZ,000413,东旭光电,河北,元器件,19960925
84,000415.SZ,000415,渤海租赁,新疆,多元金融,19960716
85,000416.SZ,000416,民生控股,山东,多元金融,19960719
86,000417.SZ,000417,合肥百货,安徽,百货,19960812
87,000418.SZ,000418,小天鹅A,江苏,元器件,19970328
88,000419.SZ,000419,通程控股,湖南,百货,19960816
89,000420.SZ,000420,吉林化学制药,吉林,化学制药,19960802
90,000421.SZ,000421,南京公用,江苏,供气供热,19960806
91,000422.SZ,000422,ST宜化,湖北,农矿业,19960815
92,000423.SZ,000423,东阿阿胶,山东,化学制药,19960729
93,000425.SZ,000425,徐工机械,江苏,工程机械,19960828
94,000426.SZ,000426,兴业农矿业,内蒙,农矿业,19960828
95,000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808
96,000429.SZ,000429,粤高速A,广东,路桥,19980220
97,000430.SZ,000430,张家界,湖南,旅游景点,19960829
98,000488.SZ,000488,晨鸣纸业,山东,造纸,20001120
99,000498.SZ,000498,山东路桥,山东,地产,19970609
100,000501.SZ,000501,鄂武商A,湖北,百货,19921120
101,000502.SZ,000502,绿景控股,广东,化学制药,19921123
102,000503.SZ,000503,国新健康,海南,化学制药,19921130
103,000504.SZ,000504,*ST生物,湖南,环境保护,19921208
104,000505.SZ,000505,京粮控股,海南,农矿业,19921221
105,000506.SZ,000506,中润资源,山东,黄金,19930312
106,000507.SZ,000507,珠海港,广东,港口,19930326
107,000509.SZ,000509,华塑控股,四川,综合服务,19930507
108,000510.SZ,000510,金路集团,四川,化学制药,19930507
109,000513.SZ,000513,丽珠集团,广东,化学制药,19931028
110,000514.SZ,000514,渝开发,重庆,地产,19930712
111,000516.SZ,000516,国际医学,陕西,百货,19930809
112,000517.SZ,000517,荣安地产,浙江,地产,19930806
113,000518.SZ,000518,四环生物,江苏,化学制药,19930908
114,000519.SZ,000519,中兵红箭,湖南,农矿业,19931008
115,000520.SZ,000520,长航凤凰,湖北,水运,19931025
116,000521.SZ,000521,长虹美菱,安徽,元器件,19931018
117,000523.SZ,000523,广州浪奇,广东,日用化工,19931108
118,000524.SZ,000524,岭南控股,广东,酒店餐饮,19931118
119,000525.SZ,000525,红太阳,江苏,农矿业,19931028
120,000526.SZ,000526,紫光学大,福建,文教休闲,19931101
121,000528.SZ,000528,柳工,广西,工程机械,19931118
122,000529.SZ,000529,广弘控股,广东,农矿业,19931118
123,000530.SZ,000530,大冷股份,辽宁,机械,19931208
124,000531.SZ,000531,穗恒运A,广东,火力发电,19940106
125,000532.SZ,000532,华金资本,广东,元器件,19940103
126,000533.SZ,000533,顺钠股份,广东,元器件,19940103
127,000534.SZ,000534,万泽股份,广东,化学制药,19940110
128,000536.SZ,000536,华映科技,福建,元器件,19931126
129,000537.SZ,000537,广宇发展,天津,地产,19931210
130,000538.SZ,000538,云南白药,云南,化学制药,19931215
131,000539.SZ,000539,粤电力A,广东,火力发电,19931126
132,000540.SZ,000540,中天金融,贵州,多元金融,19940202
133,000541.SZ,000541,佛山照明,广东,元器件,19931123
134,000543.SZ,000543,皖能电力,安徽,火力发电,19931220
135,000544.SZ,000544,中原环保,河南,环境保护,19931208
136,000545.SZ,000545,金浦钛业,吉林,化学制药,19931215
137,000546.SZ,000546,金圆股份,吉林,水泥,19931215
138,000547.SZ,000547,航天发展,福建,软件服务,19931130
139,000548.SZ,000548,湖南投资,湖南,路桥,19931220
140,000550.SZ,000550,江铃汽车,江西,汽车服务,19931201
141,000551.SZ,000551,创元科技,江苏,机械,19940106
142,000552.SZ,000552,靖远煤电,甘肃,煤炭开采,19940106
143,000553.SZ,000553,安道麦A,湖北,农矿业,19931203
144,000554.SZ,000554,泰山石油,山东,农矿业,19931215
145,000555.SZ,000555,神州信息,深圳,软件服务,19940408
146,000557.SZ,000557,西部创业,宁夏,铁路,19940617
147,000558.SZ,000558,莱茵体育,浙江,文教休闲,19940509
148,000559.SZ,000559,万向钱潮,浙江,汽车服务,19940110
149,000560.SZ,000560,我爱我家,云南,地产,19940202
150,000561.SZ,000561,烽火电子,陕西,软件服务,19940509
151,000563.SZ,000563,陕国投A,陕西,多元金融,19940110
152,000564.SZ,000564,供销大集,陕西,百货,19940110
153,000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408
154,000566.SZ,000566,海南海药,海南,化学制药,19940525
155,000567.SZ,000567,海德股份,海南,多元金融,19940525
156,000568.SZ,000568,泸州老窖,四川,白酒,19940509
157,000570.SZ,000570,苏常柴A,江苏,机械,19940701
158,000571.SZ,000571,*ST大洲,海南,综合类,19940525
159,000572.SZ,000572,*ST海马,海南,汽车服务,19940808
160,000573.SZ,000573,粤宏远A,广东,地产,19940815
161,000576.SZ,000576,广东甘化,广东,造纸,19940907
162,000581.SZ,000581,威孚高科,江苏,汽车服务,19980924
163,000582.SZ,000582,北部湾港,广西,港口,19951102
164,000584.SZ,000584,哈工智能,江苏,机械,19951128
165,000585.SZ,000585,*ST东电,海南,元器件,19951213
166,000586.SZ,000586,汇源通信,四川,软件服务,19951220
167,000587.SZ,000587,金洲慈航,黑龙江,批发业,19960425
168,000589.SZ,000589,贵州轮胎,贵州,汽车服务,19960308
